age,gender,origin_country,employment_status,travel_frequency,flight_duration,nervous_behavior,avoids_customs,inconsistent_story,unfamiliar_with_luggage,paid_with_cash,short_notice_ticket,one_way_ticket,previous_visits_to_hotspots,has_criminal_record,is_smuggler
45,female,Brazil,self-employed,2,7.3,yes,no,yes,no,no,no,yes,3,no,1
52,male,Colombia,employed,1,9.3,no,no,no,no,no,no,no,1,no,0
49,male,Brazil,employed,2,10.0,no,yes,yes,no,yes,no,yes,1,no,1
53,female,USA,employed,2,4.3,no,no,no,no,no,no,no,1,no,0
52,male,Netherlands,unemployed,1,11.4,no,yes,no,yes,no,no,no,1,no,1
20,male,Mexico,self-employed,2,6.2,no,no,no,no,no,no,no,2,no,0
21,female,UK,employed,5,7.4,no,no,no,no,no,no,no,2,no,0
53,female,UK,student,4,8.5,no,no,no,no,no,no,no,0,no,0
56,female,Netherlands,student,0,6.1,no,no,no,no,no,no,no,0,no,0
57,male,Colombia,student,3,7.0,no,no,no,no,no,no,no,2,no,0
41,male,Colombia,unemployed,2,8.1,no,no,no,no,no,no,no,2,no,0
20,female,Colombia,student,3,8.5,no,no,yes,no,no,yes,yes,1,yes,1
56,male,USA,self-employed,3,5.5,no,no,no,no,no,no,no,0,no,0
37,female,UK,employed,3,11.2,no,no,no,no,no,no,no,0,no,0
52,female,USA,self-employed,1,7.1,no,no,no,no,no,no,no,2,no,0
33,male,UK,unemployed,0,11.5,yes,no,yes,no,no,no,yes,5,no,1
48,female,Colombia,unemployed,5,9.0,yes,yes,no,no,no,no,yes,5,no,1
50,male,Mexico,self-employed,3,4.6,no,no,no,no,no,no,no,1,no,0
64,female,Netherlands,student,3,5.5,no,no,no,no,no,no,no,2,no,0
41,female,USA,employed,1,11.9,yes,yes,no,no,yes,yes,yes,3,yes,1
45,male,Nigeria,self-employed,3,8.8,yes,yes,no,no,no,no,yes,3,yes,1
61,female,UK,student,1,8.0,no,no,no,no,no,no,no,1,no,0
23,female,Brazil,unemployed,2,5.0,no,no,no,no,no,no,no,1,no,0
59,male,Netherlands,self-employed,2,5.3,no,no,no,no,no,no,no,1,no,0
28,male,Nigeria,student,1,9.7,no,yes,no,yes,no,no,yes,2,yes,1
44,male,Brazil,self-employed,5,7.6,no,no,no,no,no,no,no,2,no,0
56,male,Mexico,unemployed,2,9.4,yes,yes,no,yes,no,yes,no,2,no,1
38,female,UK,employed,2,3.2,no,no,no,no,no,no,no,0,no,0
44,female,Mexico,student,0,4.7,no,no,no,no,no,no,no,2,no,0
40,female,Netherlands,student,2,8.3,no,no,no,no,no,no,no,1,no,0
56,female,Brazil,self-employed,4,8.4,no,no,no,no,no,no,no,0,no,0
51,female,UK,employed,2,5.6,no,no,no,no,no,no,no,0,no,0
62,female,Nigeria,student,1,7.5,no,no,no,no,no,no,no,2,no,0
52,male,UK,unemployed,2,10.7,no,yes,no,yes,no,yes,yes,3,yes,1
57,female,Netherlands,student,5,8.1,yes,yes,yes,no,no,yes,yes,5,yes,1
58,male,Colombia,student,5,6.8,no,no,no,no,no,no,no,0,no,0
42,male,Brazil,student,2,3.2,no,no,no,no,no,no,no,1,no,0
31,female,Mexico,employed,3,4.4,no,no,no,no,no,no,no,0,no,0
55,male,USA,self-employed,4,5.3,no,no,no,no,no,no,no,1,no,0
41,male,USA,unemployed,2,6.5,no,no,no,no,no,no,no,2,no,0
31,male,UK,unemployed,4,5.1,no,no,no,no,no,no,no,2,no,0
19,male,Netherlands,employed,2,4.2,no,no,no,no,no,no,no,2,no,0
34,female,Mexico,employed,3,4.7,no,no,no,no,no,no,no,2,no,0
18,male,Nigeria,employed,0,10.4,no,no,yes,no,no,no,yes,5,yes,1
61,male,USA,student,3,12.7,yes,yes,no,no,yes,no,yes,3,no,1
24,male,Nigeria,unemployed,6,4.6,no,no,no,no,no,no,no,0,no,0
52,female,Colombia,student,2,7.4,no,no,no,no,no,no,no,1,no,0
36,female,Nigeria,self-employed,3,11.0,yes,yes,yes,yes,yes,no,no,2,yes,1
33,female,UK,self-employed,4,9.0,no,no,no,no,no,no,no,1,no,0
47,female,Netherlands,self-employed,2,8.2,no,no,no,no,no,no,no,1,no,0
29,female,Netherlands,employed,6,5.8,no,no,no,no,no,no,no,0,no,0
47,female,UK,employed,4,6.6,no,no,no,no,no,no,no,0,no,0
46,female,Brazil,self-employed,0,10.9,no,yes,yes,no,yes,no,no,4,yes,1
35,female,Nigeria,self-employed,2,6.9,yes,yes,yes,no,no,no,yes,5,yes,1
19,male,Mexico,employed,2,9.5,no,yes,yes,no,no,no,no,4,no,1
44,female,Colombia,unemployed,3,5.1,no,no,no,no,no,no,no,2,no,0
25,male,Netherlands,employed,0,4.5,no,no,no,no,no,no,no,2,no,0
50,female,Netherlands,self-employed,3,7.3,no,no,no,no,no,no,no,2,no,0
55,female,Colombia,employed,1,5.5,no,no,no,no,no,no,no,0,no,0
63,male,Netherlands,unemployed,3,6.4,no,no,no,no,no,no,no,1,no,0
18,male,Netherlands,student,0,7.9,no,yes,yes,yes,yes,no,no,1,no,1
46,male,Netherlands,self-employed,3,10.7,no,no,no,no,no,no,no,2,no,0
31,female,Netherlands,student,1,8.3,no,yes,yes,no,yes,no,no,1,no,1
33,male,Mexico,self-employed,3,4.6,no,no,no,no,no,no,no,1,no,0
37,male,Mexico,self-employed,2,3.4,no,no,no,no,no,no,no,0,no,0
40,female,Colombia,employed,1,9.9,no,no,no,no,no,no,no,1,no,0
38,female,USA,student,5,5.4,no,no,no,no,no,no,no,0,no,0
34,male,Colombia,self-employed,4,6.4,no,no,no,no,no,no,no,2,no,0
35,male,USA,self-employed,5,7.2,yes,yes,yes,no,no,no,yes,4,no,1
46,male,Colombia,student,5,7.1,no,no,no,no,no,no,no,1,no,0
28,female,Colombia,student,2,7.1,no,no,no,no,no,no,no,1,no,0
51,female,UK,student,1,6.8,no,no,no,no,no,no,no,2,no,0
39,female,Netherlands,unemployed,1,7.2,no,no,no,no,no,no,no,1,no,0
64,female,Nigeria,employed,2,7.7,no,no,no,no,no,no,no,0,no,0
27,female,UK,student,1,8.3,no,no,no,no,no,no,no,2,no,0
34,female,Mexico,student,1,6.3,no,no,no,no,no,no,no,2,no,0
22,male,Nigeria,employed,3,8.3,no,no,no,no,no,no,no,0,no,0
23,female,USA,self-employed,5,5.6,no,no,no,no,no,no,no,1,no,0
32,male,Colombia,unemployed,2,8.4,yes,yes,yes,yes,yes,no,yes,2,no,1
41,female,Mexico,unemployed,1,5.2,no,no,no,no,no,no,no,0,no,0
40,female,Brazil,employed,5,5.9,no,no,no,no,no,no,no,0,no,0
53,male,Netherlands,unemployed,3,8.3,no,no,no,no,no,no,no,2,no,0
22,male,Netherlands,self-employed,5,7.0,no,no,no,no,no,no,no,1,no,0
60,female,Brazil,unemployed,4,14.2,yes,no,no,no,yes,no,yes,5,no,1
35,female,Colombia,unemployed,3,6.6,no,no,no,no,no,no,no,0,no,0
45,male,Netherlands,student,4,5.3,no,no,no,no,no,no,no,1,no,0
59,female,Brazil,employed,1,8.3,no,no,no,no,no,no,no,1,no,0
60,male,Netherlands,employed,4,10.0,no,no,no,no,no,no,no,2,no,0
36,male,Netherlands,employed,3,2.6,no,no,no,no,no,no,no,2,no,0
39,male,UK,self-employed,3,8.2,no,no,no,no,no,no,no,0,no,0
50,female,UK,unemployed,4,3.1,no,no,no,no,no,no,no,2,no,0
57,male,Brazil,student,2,9.6,no,no,no,no,no,no,no,1,no,0
18,male,Netherlands,employed,1,8.4,yes,yes,yes,no,yes,no,no,2,yes,1
53,female,Colombia,unemployed,0,4.0,no,no,no,no,no,no,no,1,no,0
48,male,Colombia,self-employed,4,8.0,no,no,no,no,no,no,no,0,no,0
26,female,Mexico,self-employed,3,4.4,no,no,no,no,no,no,no,1,no,0
25,female,USA,employed,3,7.2,no,no,no,no,no,no,no,0,no,0
62,male,Mexico,student,1,4.3,no,no,no,no,no,no,no,0,no,0
52,male,Nigeria,employed,6,2.1,no,no,no,no,no,no,no,1,no,0
61,male,Colombia,student,3,5.1,no,no,no,no,no,no,no,0,no,0
48,female,Mexico,unemployed,1,8.7,no,no,no,no,no,no,no,0,no,0
49,male,UK,employed,0,11.2,no,yes,yes,yes,yes,no,no,1,no,1
38,female,Nigeria,self-employed,6,15.1,yes,yes,yes,no,yes,yes,yes,3,yes,1
36,male,Netherlands,student,1,7.9,no,no,no,no,no,no,no,1,no,0
42,female,Colombia,self-employed,1,7.2,no,no,no,no,no,no,no,1,no,0
37,female,Colombia,employed,3,7.4,no,no,yes,yes,no,no,yes,3,yes,1
59,female,Mexico,self-employed,2,5.1,no,no,no,no,no,no,no,2,no,0
19,female,Netherlands,self-employed,3,9.4,no,no,no,no,no,no,no,2,no,0
26,female,Brazil,unemployed,4,8.0,no,no,no,no,no,no,no,1,no,0
36,male,Brazil,employed,3,5.2,no,no,no,no,no,no,no,1,no,0
28,female,UK,self-employed,0,6.0,no,no,no,no,no,no,no,2,no,0
20,male,Netherlands,unemployed,5,7.4,no,no,no,no,no,no,no,1,no,0
21,male,UK,unemployed,2,2.4,no,no,no,no,no,no,no,1,no,0
21,male,Netherlands,unemployed,2,2.9,no,no,no,no,no,no,no,2,no,0
20,female,Mexico,self-employed,1,8.9,no,yes,yes,no,no,no,no,4,no,1
21,female,Nigeria,unemployed,5,5.8,no,no,no,no,no,no,no,1,no,0
37,female,Mexico,employed,4,4.9,no,no,no,no,no,no,no,2,no,0
28,male,USA,unemployed,3,9.1,yes,no,yes,no,yes,yes,yes,1,no,1
31,male,USA,student,1,1.4,no,no,no,no,no,no,no,2,no,0
33,female,Netherlands,student,3,13.7,yes,no,no,yes,no,no,yes,3,yes,1
44,female,Nigeria,unemployed,2,3.7,no,no,no,no,no,no,no,2,no,0
60,female,UK,unemployed,1,5.5,no,no,no,no,no,no,no,0,no,0
27,male,Netherlands,employed,4,9.7,yes,no,no,yes,no,yes,yes,2,yes,1
23,female,Netherlands,student,4,6.8,no,no,no,no,no,no,no,0,no,0
58,female,Netherlands,self-employed,3,5.4,no,no,no,no,no,no,no,0,no,0
20,female,UK,self-employed,2,5.7,no,no,no,no,no,no,no,0,no,0
54,male,Mexico,student,3,9.0,no,no,no,no,no,no,no,1,no,0
43,female,UK,self-employed,3,4.8,no,no,no,no,no,no,no,1,no,0
37,female,UK,student,2,7.0,no,no,no,no,no,no,no,1,no,0
20,male,USA,self-employed,3,6.8,no,no,no,no,no,no,no,2,no,0
53,female,USA,student,3,11.1,yes,no,yes,yes,no,yes,no,5,no,1
51,male,Colombia,unemployed,0,4.0,no,no,no,no,no,no,no,0,no,0
43,male,Netherlands,self-employed,4,7.1,no,no,no,no,no,no,no,0,no,0
20,female,UK,self-employed,1,5.4,no,no,no,no,no,no,no,2,no,0
30,female,Nigeria,self-employed,5,11.9,yes,yes,yes,no,no,yes,yes,2,yes,1
63,male,Nigeria,student,3,10.8,no,no,no,no,no,no,no,0,no,0
28,male,UK,employed,3,14.3,yes,no,no,no,yes,yes,no,2,no,1
24,male,Mexico,employed,3,5.6,no,no,no,no,no,no,no,0,no,0
20,female,USA,unemployed,3,4.0,no,no,no,no,no,no,no,2,no,0
53,female,Colombia,unemployed,0,6.2,no,no,no,no,no,no,no,0,no,0
24,female,USA,self-employed,5,5.2,no,no,no,no,no,no,no,0,no,0
27,male,UK,unemployed,4,4.1,no,no,no,no,no,no,no,0,no,0
55,female,Brazil,unemployed,7,5.8,no,no,no,no,no,no,no,2,no,0
44,male,Brazil,self-employed,5,5.7,no,no,no,no,no,no,no,1,no,0
21,male,Netherlands,unemployed,2,5.8,no,no,no,no,no,no,no,2,no,0
50,male,UK,unemployed,2,5.9,no,no,no,no,no,no,no,2,no,0
28,female,USA,employed,2,5.1,no,no,no,no,no,no,no,1,no,0
43,male,Colombia,unemployed,2,10.4,no,no,yes,yes,no,yes,yes,4,no,1
62,female,USA,self-employed,1,10.9,yes,yes,yes,no,yes,no,yes,4,no,1
51,female,Brazil,unemployed,2,8.9,yes,no,no,yes,no,no,no,5,no,1
59,male,Brazil,employed,4,9.0,no,no,no,yes,yes,yes,yes,3,yes,1
47,female,Netherlands,unemployed,3,7.6,no,no,no,no,no,no,no,1,no,0
24,female,Mexico,employed,0,6.4,no,no,no,no,no,no,no,0,no,0
34,female,Mexico,self-employed,4,4.8,no,no,no,no,no,no,no,1,no,0
34,male,Brazil,unemployed,2,5.9,no,no,no,no,no,no,no,0,no,0
21,female,UK,employed,5,5.6,no,no,no,no,no,no,no,0,no,0
61,female,UK,student,1,7.6,no,no,no,no,no,no,no,1,no,0
19,female,USA,unemployed,1,5.9,no,no,no,no,no,no,no,0,no,0
56,female,UK,student,4,3.7,no,no,no,no,no,no,no,0,no,0
47,female,Mexico,employed,4,4.4,no,no,no,no,no,no,no,0,no,0
49,male,Netherlands,self-employed,1,6.0,no,no,no,no,no,no,no,2,no,0
41,female,Colombia,unemployed,3,9.3,no,no,no,no,no,no,no,1,no,0
27,male,Colombia,self-employed,0,4.0,no,no,no,no,no,no,no,0,no,0
37,male,USA,student,3,9.5,yes,no,no,no,yes,yes,yes,4,yes,1
52,female,UK,employed,2,7.8,yes,yes,yes,no,yes,no,yes,1,no,1
22,female,Colombia,self-employed,3,10.3,no,no,no,no,no,no,no,0,no,0
64,male,Netherlands,unemployed,0,11.3,yes,no,yes,yes,no,yes,yes,3,no,1
26,female,Netherlands,student,4,8.4,no,no,no,no,no,no,no,1,no,0
46,female,Colombia,student,2,3.6,no,no,no,no,no,no,no,1,no,0
19,female,Colombia,student,1,8.7,no,no,no,no,no,no,no,2,no,0
25,male,Brazil,unemployed,2,5.8,no,no,no,no,no,no,no,0,no,0
29,female,USA,self-employed,0,9.0,yes,yes,yes,no,yes,no,yes,5,yes,1
32,female,Brazil,student,3,3.1,no,no,no,no,no,no,no,0,no,0
49,male,Brazil,student,4,4.8,no,no,no,no,no,no,no,0,no,0
63,male,Colombia,self-employed,4,9.1,no,no,no,no,no,no,no,2,no,0
19,female,UK,self-employed,4,6.7,no,no,no,no,no,no,no,0,no,0
34,female,USA,student,2,3.8,no,no,no,no,no,no,no,0,no,0
54,female,Nigeria,employed,1,4.4,no,no,no,no,no,no,no,1,no,0
34,female,Colombia,employed,3,6.9,no,no,no,no,no,no,no,0,no,0
53,male,Brazil,employed,1,3.3,no,no,no,no,no,no,no,2,no,0
42,male,Colombia,student,1,2.6,no,no,no,no,no,no,no,2,no,0
43,female,Nigeria,unemployed,2,7.7,no,no,no,no,no,no,no,1,no,0
20,male,Mexico,student,2,7.9,no,no,no,no,no,no,no,2,no,0
46,female,Colombia,student,0,11.2,no,no,no,no,no,no,no,2,no,0
50,female,UK,self-employed,2,7.2,no,no,no,no,no,no,no,0,no,0
64,female,Colombia,self-employed,1,6.0,no,no,no,no,no,no,no,0,no,0
43,male,Nigeria,unemployed,3,7.7,yes,yes,no,no,yes,yes,no,5,no,1
22,female,Netherlands,employed,5,11.4,no,yes,yes,no,no,yes,yes,5,no,1
32,female,USA,self-employed,3,3.9,no,no,no,no,no,no,no,0,no,0
39,female,Netherlands,unemployed,4,3.9,no,no,no,no,no,no,no,2,no,0
26,female,Brazil,unemployed,1,5.1,no,no,no,no,no,no,no,1,no,0
63,male,USA,employed,6,4.4,no,no,no,no,no,no,no,1,no,0
49,male,Netherlands,unemployed,2,7.2,no,no,no,no,no,no,no,1,no,0
51,male,Netherlands,employed,4,8.4,no,no,no,no,no,no,no,1,no,0
20,female,Nigeria,unemployed,1,10.1,yes,yes,yes,yes,yes,no,yes,2,yes,1
40,male,Nigeria,unemployed,1,10.7,no,no,yes,yes,yes,no,yes,1,yes,1
45,female,UK,self-employed,2,9.7,yes,no,yes,no,no,yes,no,4,no,1
35,female,Mexico,self-employed,2,5.2,no,no,no,no,no,no,no,1,no,0
23,male,Netherlands,self-employed,6,5.2,no,no,no,no,no,no,no,0,no,0
33,female,Brazil,self-employed,4,7.5,no,no,no,no,no,no,no,1,no,0
26,female,Brazil,student,4,10.6,no,no,no,no,no,no,no,2,no,0
41,male,Nigeria,self-employed,2,8.9,yes,yes,no,yes,yes,yes,no,5,no,1
59,male,Netherlands,self-employed,5,11.1,yes,no,yes,yes,no,no,yes,4,no,1
45,male,Nigeria,employed,4,2.7,no,no,no,no,no,no,no,2,no,0
47,female,Netherlands,unemployed,1,9.1,no,no,no,no,no,no,no,2,no,0
24,female,Brazil,self-employed,7,3.2,no,no,no,no,no,no,no,0,no,0
39,male,Brazil,student,2,6.1,no,no,no,no,no,no,no,2,no,0
26,male,UK,unemployed,3,5.6,no,no,no,no,no,no,no,1,no,0
33,female,Colombia,employed,4,5.5,no,no,no,no,no,no,no,1,no,0
64,female,Colombia,student,4,7.3,no,no,no,no,no,no,no,0,no,0
40,female,USA,self-employed,4,3.8,no,no,no,no,no,no,no,0,no,0
29,male,Brazil,self-employed,4,5.6,no,no,no,no,no,no,no,0,no,0
39,female,Mexico,self-employed,1,13.8,yes,yes,yes,no,yes,no,yes,5,no,1
41,male,Nigeria,self-employed,4,8.7,no,no,no,no,no,no,no,1,no,0
37,male,Nigeria,unemployed,2,7.3,no,no,no,no,no,no,no,0,no,0
20,female,UK,self-employed,1,8.8,no,yes,no,no,yes,yes,yes,2,no,1
29,female,UK,student,6,7.5,no,no,no,no,no,no,no,1,no,0
46,female,Colombia,self-employed,2,10.7,yes,yes,yes,no,yes,no,no,4,yes,1
22,male,Nigeria,self-employed,2,7.3,no,no,no,no,no,no,no,0,no,0
37,female,USA,student,3,7.3,no,no,no,no,no,no,no,0,no,0
64,female,Nigeria,self-employed,2,9.3,no,no,no,no,no,no,no,2,no,0
58,female,Brazil,employed,3,4.1,no,no,no,no,no,no,no,0,no,0
40,female,Nigeria,student,3,5.9,no,no,no,no,no,no,no,1,no,0
32,female,Mexico,self-employed,2,7.8,no,no,no,no,no,no,no,1,no,0
24,female,Colombia,employed,0,3.8,no,no,no,no,no,no,no,2,no,0
21,female,Nigeria,student,4,-1.1,no,no,no,no,no,no,no,1,no,0
18,male,UK,unemployed,2,9.8,yes,yes,no,yes,yes,yes,yes,3,no,1
27,male,Brazil,employed,1,4.7,no,no,no,no,no,no,no,0,no,0
29,female,USA,unemployed,2,7.9,no,no,no,no,no,no,no,2,no,0
64,male,Brazil,student,4,3.2,no,no,no,no,no,no,no,0,no,0
43,female,Netherlands,self-employed,0,7.0,no,no,no,no,no,no,no,2,no,0
20,male,Netherlands,unemployed,3,7.0,no,no,no,no,no,no,no,0,no,0
42,female,Netherlands,student,6,5.5,no,no,no,no,no,no,no,1,no,0
40,male,Mexico,employed,2,7.0,no,no,no,no,no,no,no,0,no,0
59,female,Mexico,student,4,7.1,no,no,no,no,no,no,no,0,no,0
23,male,Nigeria,student,3,12.8,yes,no,yes,no,no,no,yes,3,no,1
21,female,USA,student,2,3.0,no,no,no,no,no,no,no,2,no,0
22,female,Nigeria,unemployed,4,7.6,no,no,no,no,no,no,no,0,no,0
44,male,Nigeria,unemployed,1,5.7,no,no,no,no,no,no,no,2,no,0
18,male,USA,student,0,5.6,no,no,no,no,no,no,no,0,no,0
63,male,Mexico,employed,1,4.7,no,no,no,no,no,no,no,1,no,0
26,female,Brazil,unemployed,7,4.6,no,no,no,no,no,no,no,1,no,0
21,female,UK,self-employed,6,6.6,no,no,no,no,no,no,no,0,no,0
19,female,UK,self-employed,3,4.0,no,no,no,no,no,no,no,1,no,0
43,female,UK,unemployed,4,4.8,no,no,no,no,no,no,no,2,no,0
57,female,Nigeria,unemployed,4,7.7,no,no,no,no,no,no,no,0,no,0
55,male,Nigeria,employed,4,5.3,no,no,no,no,no,no,no,2,no,0
45,female,UK,unemployed,0,7.3,yes,yes,no,no,yes,no,yes,1,no,1
48,male,Nigeria,unemployed,1,6.0,no,no,no,no,no,no,no,2,no,0
21,male,Nigeria,employed,0,8.3,yes,no,no,yes,no,yes,yes,1,no,1
21,female,Netherlands,self-employed,3,7.5,no,no,no,no,no,no,no,2,no,0
46,female,Nigeria,self-employed,0,11.7,no,yes,no,no,yes,no,yes,3,no,1
21,male,Brazil,unemployed,1,9.2,no,no,no,no,no,no,no,2,no,0
55,male,Brazil,student,2,5.6,no,no,no,no,no,no,no,0,no,0
47,male,Brazil,unemployed,1,4.9,no,no,no,no,no,no,no,2,no,0
34,male,Netherlands,self-employed,3,6.2,no,no,no,no,no,no,no,0,no,0
44,male,Mexico,self-employed,1,3.2,no,no,no,no,no,no,no,1,no,0
50,female,USA,employed,3,8.7,no,no,no,no,no,no,no,2,no,0
34,female,Colombia,student,4,7.4,no,no,no,no,no,no,no,0,no,0
57,male,Nigeria,self-employed,6,3.6,no,no,no,no,no,no,no,0,no,0
50,female,USA,self-employed,8,5.7,no,no,no,no,no,no,no,1,no,0
37,female,Nigeria,self-employed,2,6.1,no,no,no,no,no,no,no,2,no,0
45,male,Mexico,employed,5,9.9,no,no,no,no,no,no,no,1,no,0
47,female,Colombia,student,5,4.9,no,no,no,no,no,no,no,2,no,0
34,male,Nigeria,student,1,8.2,no,no,no,no,no,no,no,0,no,0
32,female,UK,self-employed,2,5.2,no,no,no,no,no,no,no,1,no,0
30,female,UK,student,4,10.7,no,no,no,no,no,no,no,0,no,0
29,male,Netherlands,employed,2,6.2,no,no,no,no,no,no,no,0,no,0
26,male,Colombia,student,2,8.0,yes,yes,no,yes,yes,yes,yes,3,no,1
21,male,USA,unemployed,2,4.8,no,no,no,no,no,no,no,1,no,0
19,male,USA,employed,2,10.3,yes,yes,no,yes,yes,yes,yes,1,yes,1
